structure,atom_number,element,raw_displacement_A,corrected_displacement_A,dx_A,dy_A,dz_A,initial_frac_x,initial_frac_y,initial_frac_z,relaxed_frac_x,relaxed_frac_y,relaxed_frac_z
vacancy_O1,1,Ga,0.036293410828030906,0.036293410828032543,0.007108085343314319,-0.016506112967156122,0.0315314926224559,0.32941915,0.15736517,0.15883829,0.3304560864691161,0.1559045422239255,0.1611404696766529
vacancy_O1,2,Ga,0.05926084050303341,0.05926084050303457,0.013886343027014015,0.014553007681942816,0.05574250318985966,0.32941915,0.15736517,0.65883829,0.3319116698968518,0.158652967271712,0.6638064259155699
vacancy_O1,3,Ga,0.011731564796801637,0.01173156479680317,0.0045190238302865076,-0.004694664260208686,0.009755417145710035,0.32941915,0.65736517,0.15883829,0.3301362307465027,0.6569497386363926,0.1596042735931726
vacancy_O1,4,Ga,0.0035777534312202083,0.0035777534312218286,0.000776735159641073,-0.0021836592210813166,0.002725552148204738,0.32941915,0.65736517,0.65883829,0.3295286715397427,0.6571719377521572,0.6590253738547555
vacancy_O1,5,Ga,0.0366017438166597,0.036601743816661335,0.007586615760072633,-0.016426879076970165,0.0318164824504552,0.82941915,0.15736517,0.15883829,0.830537768369885,0.1559115536396987,0.1611739591897539
vacancy_O1,6,Ga,0.07049239530579511,0.07049239530579383,-0.016787561830127348,-0.008931308721125485,-0.0678792110168931,0.82941915,0.15736517,0.6588383,0.8264922720091372,0.1565748374958708,0.6529662024626258
vacancy_O1,7,Ga,0.011995104035453646,0.011995104035455324,0.00018751306779718588,-0.004711629824855798,0.011029410866602585,0.82941915,0.65736517,0.15883829,0.8294038551401611,0.6569482373516862,0.1596196682470572
vacancy_O1,8,Ga,0.009624601656402476,0.009624601656403184,-0.00013494428357560689,-0.009581218698606684,-0.0009027709201335726,0.82941915,0.65736517,0.6588383,0.829300778523272,0.6565173268895309,0.658573184180707
vacancy_O1,9,Ga,0.01699614302602354,0.016996143026022377,-0.003605758699593759,-0.004176486278152417,-0.016075582239213532,0.17058085,0.34263483,0.3411617,0.1699296709985213,0.3422652522637758,0.339737171303281
vacancy_O1,10,Ga,0.006729024947364502,0.006729024947363862,-0.0034272332185635835,0.005783802714802873,0.00028543889724149573,0.17058085,0.34263483,0.8411617,0.1700591902549171,0.3431466393468394,0.8412324124196019
vacancy_O1,11,Ga,0.021299100207715912,0.021299100207714267,-0.004198104851727645,0.01179237078592316,-0.017232747214517504,0.17058085,0.84263483,0.3411617,0.1699888084098505,0.8436783382051094,0.339952637106831
vacancy_O1,12,Ga,0.012161475309460356,0.012161475309458996,-0.0019021179657467125,0.010888853692267608,-0.005071123565380203,0.17058085,0.84263483,0.8411617,0.1703679147636489,0.8435983858767946,0.8409408130056115
vacancy_O1,13,Ga,0.03174562285557097,0.03174562285557244,0.004417199267013555,-0.02665802470426043,0.01666201188304638,0.67058085,0.34263483,0.3411617,0.6710616620546141,0.3402758584228757,0.3420334217064327
vacancy_O1,14,Ga,0.007266611851377432,0.007266611851376341,0.0033668647329754844,0.006211118045567724,-0.0016999653797745388,0.67058085,0.34263483,0.8411617,0.6712119387517993,0.3431844525280832,0.8412172773094251
vacancy_O1,15,Ga,0.07257362192915434,0.07257362192915334,-0.001800937554735195,0.07209294218861541,-0.008142168656358514,0.67058085,0.84263483,0.3411617,0.6709954500232868,0.8490143424890493,0.3419209479366036
vacancy_O1,16,Ga,0.01209078103158092,0.01209078103157951,-0.0010555718240698546,0.01072870009122003,-0.005474280631323902,0.67058085,0.84263483,0.8411617,0.6705094191264683,0.8435842138667887,0.8409223590872309
vacancy_O1,17,Ga,0.010964840337519825,0.010964840337521283,0.0020489633232727523,-0.00042825833407584955,0.010763181115567623,0.0452367,0.397393,0.09047439,0.0455787891357281,0.3973551033722882,0.0913566783419365
vacancy_O1,18,Ga,0.01601124187448212,0.016011241874480827,0.0023767600997680787,0.014846984866626322,-0.005502537429354542,0.0452367,0.397393,0.59047439,0.0457865512681377,0.3987068113455485,0.5903822836182757
vacancy_O1,19,Ga,0.0012272162264277988,0.0012272162264293676,-0.00047441389589379017,-0.00044791261063967903,0.0010394062800581686,0.0452367,0.897393,0.09047439,0.0451520368704482,0.8973533641631646,0.0905382977895329
vacancy_O1,20,Ga,0.01807001966886474,0.01807001966886526,0.0013160294976269059,-0.017629336074985985,-0.00374168234217591,0.0452367,0.897393,0.59047439,0.0452833341992245,0.8958329780859301,0.5898528258711206
vacancy_O1,21,Ga,0.01657914240348087,0.01657914240348249,0.003262137307593331,-0.005488778283954295,0.015300318165677161,0.5452367,0.397393,0.09047439,0.54573339412105,0.3969072973979271,0.0916381108048554
vacancy_O1,22,Ga,0.016392032978174098,0.01639203297817301,-0.005183579683044794,0.01511668661970429,-0.003648976907119295,0.5452367,0.397393,0.59047439,0.5445112277121507,0.3987306772837367,0.5903858740819852
vacancy_O1,23,Ga,0.0007007547147560187,0.000700754714757021,-0.0005500059761720279,-0.0003492432098746013,0.00025803057335465837,0.5452367,0.897393,0.09047439,0.5451402427482924,0.897362095429435,0.0904770290734967
vacancy_O1,24,Ga,0.017872742817291745,0.01787274281729235,-0.0030511522380334967,-0.01739069000530063,-0.0027729599659849493,0.5452367,0.897393,0.59047439,0.5445474781023051,0.8958540959032337,0.5898484932465485
vacancy_O1,25,Ga,0.22708134424910298,0.2270813442491039,-0.16411493475580025,0.034094136084255516,0.15319861285516825,0.4547633,0.102607,0.40952561,0.4273610600992605,0.1056239939018969,0.4190946197781092
vacancy_O1,26,Ga,0.030726510310662578,0.030726510310664142,0.007465134051261479,-0.007182780938487023,0.02892745871067408,0.4547633,0.102607,0.9095256,0.4559535807929533,0.1019713949142304,0.9118149548074612
vacancy_O1,27,Ga,0.017550657716869787,0.017550657716868458,-0.0017667426143042281,-0.002287565861809144,-0.017311015257845543,0.4547633,0.602607,0.40952561,0.4544418311321565,0.6024045730419387,0.4080771894032209
vacancy_O1,28,Ga,0.012722527478603128,0.01272252747860271,-0.0016838814497909733,-0.008955573828759857,-0.00887834140504196,0.4547633,0.602607,0.90952561,0.4543893333867131,0.6018145202737919,0.9086122629620689
vacancy_O1,29,Ga,0.22735688255236997,0.22735688255237016,0.21687240029037314,0.03409165844077974,0.059120832715563225,0.9547633,0.102607,0.40952561,0.991763822109959,0.1056237746549496,0.4191316710209527
vacancy_O1,30,Ga,0.012349138520753358,0.012349138520751713,-0.0023870718350372197,0.006736003677766041,-0.010071214659225978,0.9547633,0.102607,0.90952561,0.9544269679842393,0.1032030697161751,0.9088172016311385
vacancy_O1,31,Ga,0.01741666000198501,0.017416660001983757,-0.005191772876290559,-0.002346827257239863,-0.01645836996334663,0.9547633,0.602607,0.40952561,0.9538622667794849,0.6023993289944524,0.4080762188800026
vacancy_O1,32,Ga,0.009817444055601489,0.009817444055600751,-0.0014911981190167166,-0.005343721154760405,-0.008099579012199192,0.9547633,0.602607,0.90952561,0.9544579284787729,0.6021341335194561,0.9087496370116787
vacancy_O1,33,O,0.01072230850314018,0.0107223085031415,-0.00673734119346394,-0.0026644563175270693,0.007904227085008661,0.24823457,0.12833205,0.99646912,0.2470691031830745,0.1280962719635077,0.9969085243278424
vacancy_O1,34,O,0.018078862359239167,0.018078862359240284,0.0017091157531796653,-0.01762733297458302,0.0036333620449614332,0.24823457,0.62833205,0.49646912,0.2483476721876381,0.626772205340508,0.496438175990872
vacancy_O1,35,O,0.01979430327034916,0.01979430327034997,0.0009472067589905597,-0.019767342342201497,-0.00041160422801281586,0.24823457,0.62833205,0.99646912,0.2481975338934468,0.6265828356730628,0.9960608598632932
vacancy_O1,36,O,0.044722530287357884,0.04472253028735692,-0.010425072122592676,-0.01719529254588858,-0.039946770843255985,0.74823457,0.12833205,0.49646912,0.7463007962132436,0.1268104366461942,0.492764544696595
vacancy_O1,37,O,0.011120673443782939,0.0111206734437836,0.010096679737311395,-0.0025436101336377046,0.0039059548913799383,0.74823457,0.12833205,0.99646912,0.7499159617474684,0.1281069656557884,0.9969251070748223
vacancy_O1,38,O,0.010758887142837915,0.010758887142839088,0.0016659699338922094,-0.010271576802739211,0.0027336617781183463,0.74823457,0.62833205,0.49646912,0.7484137428846165,0.6274231170239556,0.4965129522989495
